id,mz_low,mz_high,name,root_region_intensity,spec_id
0,87.00070000000001,87.0157,Pyruvic acid,3749.83056640625,bf72760c-90ab-453a-9856-dfcf4b194ede
1,88.03280000000001,88.0478,L-Alanine,3823.749267578125,fd1cb85c-f81f-4f49-9e1d-31d0780280d5
2,89.0164,89.03139999999999,Lactic acid,899.0317993164062,4dfcaf92-1b9a-4da1-97ed-4239a0c92886
4,104.02770000000001,104.0427,Serine,542.1014404296875,651b5858-92cc-4b62-ae1c-82075d923108
5,108.0049,108.01989999999999,Hypotaurine,191.64564514160156,e9bdd8c2-7c89-4f3c-bf41-f0c658d7f3fe
6,323.0208,323.0358,Uridine 5'-monophosphate,1446.097900390625,7fdf47b3-b51b-4286-bf56-0f7e857379c8
7,114.0484,114.06339999999999,Proline,389.1173400878906,bd47ad35-b306-4188-9564-468eb4315e97
8,116.02770000000001,116.0427,Acetylglycine,207.3079376220703,40fd64d5-9b8b-4c47-9d3d-9ae99e6b0e3a
9,117.0113,117.02629999999999,Succinic acid,721.85009765625,3eb824ab-f6dc-407e-849f-25656a7cfdaa
10,118.0433,118.05829999999999,L-Threonine,649.9523315429688,67d777aa-8296-4d07-bff4-76d4223ee434
12,123.9993,124.01429999999999,Taurine,176027.6875,3dbc28ca-a25c-43e7-9f9b-f5200d97d113
13,128.0277,128.0427,Pyroglutamic acid,3217.606689453125,1f228169-7917-4e46-94fe-c8bff60e03ea
14,128.0641,128.07909999999998,Pipecolic acid,205.7517547607422,264b9dd4-4116-4383-a917-06c7252ca6b8
15,129.01170000000002,129.0267,Glutaconic acid,491.2242431640625,6021c789-1b49-472d-90fc-ee9c8dd5b141
16,130.05450000000002,130.0695,Creatine,617.6106567382812,76769c7d-20e3-4318-b611-33de459389b1
17,131.0386,131.0536,L-Asparagine,490.9402770996094,8f93020b-863c-4151-af14-4358bf84131a
18,131.0746,131.0896,Ornithine,253.58595275878906,fb1202f6-5e16-4bdc-b014-be23421dc502
19,132.0222,132.03719999999998,L-Aspartic acid,2713.569091796875,cc478c21-6106-43c5-9988-d6fb1c286134
20,133.0062,133.0212,Malic acid,2481.119873046875,d448e946-e99e-401c-97b6-87619caaeae5
21,134.0392,134.05419999999998,Adenine,1866.0784912109375,94edc4db-6579-4259-8a52-8af830752789
22,135.0232,135.0382,Hypoxanthine,1978.0606689453125,c9b05723-4f87-4106-a7ff-4e0970c3eb37
23,243.0542,243.0692,Uridine,197.84182739257812,f3ae8b08-e9bd-4758-acbf-9cb93d7d6f1a
24,138.9725,138.98749999999998,Acetylphosphate,830.7799072265625,dc1ebe9c-8397-481c-95c7-28fe928657e2
25,140.0038,140.0188,O-Phosphoethanolamine,6442.5732421875,ebafdc52-13b1-4a70-a490-9ad91aa4691a
26,143.0273,143.04229999999998,3-Methylglutaconic acid,213.6406707763672,0b2b0b37-7799-4c1d-a20b-e14bf2c6a188
29,145.0538,145.06879999999998,Glutamine,1696.2506103515625,994734fd-4471-4b71-838e-e447e6df4d1e
30,145.0906,145.10559999999998,Lysine,232.1687469482422,f1e0ab97-7dc5-4f1f-bb70-6b27634f67b9
31,146.0378,146.0528,Glutamic acid,4818.92822265625,2bb62722-d7f8-4d51-885b-23613d8fc6bd
32,147.0222,147.03719999999998,2-Hydroxyglutarate,259.4822082519531,d74e4225-f00e-44df-83f5-944eb6abce10
34,482.954,482.969,Uridine triphosphate,55.670894622802734,ae2f78f9-56ac-4bc5-af09-35e2b7bf7b2b
36,152.0637,152.0787,Dopamine,250.3758087158203,8fff989b-e2ad-4f1d-acf7-984d910fca05
38,154.0546,154.06959999999998,Histidine,473.559326171875,4a2bc1f0-d751-4b57-b05c-83bd25e87803
40,157.0289,157.04389999999998,Allantoin,144.29612731933594,47d440ff-7dcb-4fd3-8983-69111155e98a
41,158.0534,158.0684,Indoleacetaldehyde,221.91668701171875,26ba94fc-34ff-4370-b574-80429e245683
45,166.0214,166.0364,Taurocyamine,372.75634765625,af01ec0d-37f0-4f00-9ffa-1db77b74e8ad
